District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Aug-22,0,28.3,34,65.2,83.5,0.3,5.7
Adilabad,Adilabad Rural,02-Aug-22,3.8,24.2,33.9,60.6,98.3,0,9.9
Adilabad,Adilabad Rural,03-Aug-22,1.3,25.6,34.1,63.2,98.1,0,7.8
Adilabad,Adilabad Rural,04-Aug-22,1,24.9,36,67.3,99.7,0,18.2
Adilabad,Adilabad Rural,05-Aug-22,24.3,23.2,32.4,73.5,99.9,0,7.8
Adilabad,Adilabad Rural,06-Aug-22,0,25.3,34.4,66.9,99.9,0,12.3
Adilabad,Adilabad Rural,07-Aug-22,19.5,24.5,33.5,64.7,99.9,0,12.1
Adilabad,Adilabad Rural,08-Aug-22,78,23,29.9,85.4,100,0,8.9
Adilabad,Adilabad Rural,09-Aug-22,33.8,23.5,25,94.6,100,0.3,8
Adilabad,Adilabad Rural,10-Aug-22,9.4,23.4,27.7,84.7,95.9,1.1,12.1
Adilabad,Adilabad Rural,11-Aug-22,0,24.5,29.3,79.1,99.9,2.6,7.7
Adilabad,Adilabad Rural,12-Aug-22,0,24.4,29.9,89.7,99.9,1,11.4
Adilabad,Adilabad Rural,13-Aug-22,0,25.2,32.4,67.3,97.6,0,10.6
Adilabad,Adilabad Rural,14-Aug-22,16.8,22.7,32.4,66.7,99.9,0.9,13
Adilabad,Adilabad Rural,15-Aug-22,18,23,27.9,91.3,99.6,0.9,12.1
Adilabad,Adilabad Rural,16-Aug-22,0,23.8,26.9,89.2,99.9,2.3,10.7
Adilabad,Adilabad Rural,17-Aug-22,0,24.6,31.5,80.3,99.9,2.9,11.1
Adilabad,Adilabad Rural,18-Aug-22,0.5,24.8,33.5,66.2,99.9,0,7.9
Adilabad,Adilabad Rural,19-Aug-22,0.5,24.5,32.8,74.8,99.9,0,8.2
Adilabad,Adilabad Rural,20-Aug-22,1.3,24.7,31.6,70.1,99.9,0,12.6
Adilabad,Adilabad Rural,21-Aug-22,4.3,23.8,32.3,76.7,99.9,0,9.1
Adilabad,Adilabad Rural,22-Aug-22,4.8,24.1,31.9,82.8,99.9,0,11.4
Adilabad,Adilabad Rural,23-Aug-22,5.3,23.6,31.6,68.7,99.9,0,14.3
Adilabad,Adilabad Rural,24-Aug-22,0,23.7,34.4,62.2,99.9,0,8
Adilabad,Adilabad Rural,25-Aug-22,0.5,24.7,33.9,58,99.9,0,9.6
Adilabad,Adilabad Rural,26-Aug-22,0,22.5,33,62.2,99.9,0,8.1
Adilabad,Adilabad Rural,27-Aug-22,6,24,33.5,64.7,99.9,0,6.5
Adilabad,Adilabad Rural,28-Aug-22,7,22.6,31.6,72,99.9,0,15
Adilabad,Adilabad Rural,29-Aug-22,0,24.3,33.2,61.1,97.8,0,10.8
Adilabad,Adilabad Rural,30-Aug-22,15.5,22.9,32.7,73,100,0,11.6
Adilabad,Adilabad Rural,31-Aug-22,0,23.9,31.5,75.5,99.9,0,7.1
Adilabad,Adilabad Urban,01-Aug-22,0,25.9,34.3,59.4,98.1,0,4
Adilabad,Adilabad Urban,02-Aug-22,0,25.3,34,64.7,95.5,0,1.6
Adilabad,Adilabad Urban,03-Aug-22,0,25.3,33.5,62.3,94.6,0,2.4
Adilabad,Adilabad Urban,04-Aug-22,14.6,25.1,34.1,69,99.6,0,9.3
Adilabad,Adilabad Urban,05-Aug-22,29.1,23.3,32.9,74.6,99.7,0,5.9
Adilabad,Adilabad Urban,06-Aug-22,0,25,34,65.6,98,0,5.8
Adilabad,Adilabad Urban,07-Aug-22,18.1,24.8,34,71.8,99.5,0,5.9
Adilabad,Adilabad Urban,08-Aug-22,15.3,23.4,32.9,82.8,99.6,0,4.7
