District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Dec-21,0,14.7,27.7,45.5,92.3,0,10.9
Adilabad,Adilabad Rural,02-Dec-21,0,14,30.1,37,96.2,0,10.4
Adilabad,Adilabad Rural,03-Dec-21,0,17.6,30.9,52.1,97.7,0,5.3
Adilabad,Adilabad Rural,04-Dec-21,0,14.8,30.5,40.4,98.7,0,9
Adilabad,Adilabad Rural,05-Dec-21,0,14,28.7,46.4,98.5,0,7.2
Adilabad,Adilabad Rural,06-Dec-21,0,15.3,29.3,50.5,98.7,0,14.8
Adilabad,Adilabad Rural,07-Dec-21,0,15.2,30.2,50.5,98.7,0,9.3
Adilabad,Adilabad Rural,08-Dec-21,0,16.5,29.1,55.6,99.3,0,6.7
Adilabad,Adilabad Rural,09-Dec-21,0,17.2,29.2,49.9,95.6,0,12.6
Adilabad,Adilabad Rural,10-Dec-21,0,14.8,29.8,45.9,98,0,7.8
Adilabad,Adilabad Rural,11-Dec-21,0,14.6,29.3,50.5,95.9,0,12
Adilabad,Adilabad Rural,12-Dec-21,0,15.5,28.9,47,97,0,7.8
Adilabad,Adilabad Rural,13-Dec-21,0,11.8,28.3,44.9,92.6,0,8.8
Adilabad,Adilabad Rural,14-Dec-21,0,12.2,28,43.8,95.4,0,11
Adilabad,Adilabad Rural,15-Dec-21,0,12,27.5,45.5,97,0,12.7
Adilabad,Adilabad Rural,16-Dec-21,0,11.5,27.4,42.6,93.7,0,8.1
Adilabad,Adilabad Rural,17-Dec-21,0,12.7,30.1,30.1,89.3,0,10.2
Adilabad,Adilabad Rural,18-Dec-21,0,11.7,28.2,42.4,94.9,0,10
Adilabad,Adilabad Rural,19-Dec-21,0,10.9,30.5,34.7,97.7,0,9.7
Adilabad,Adilabad Rural,20-Dec-21,0,6.8,25.2,50.7,94.7,0,8.4
Adilabad,Adilabad Rural,21-Dec-21,0,6.5,24.9,35.5,85.2,0,7.7
Adilabad,Adilabad Rural,22-Dec-21,0,7.8,26.5,27.4,84.7,0,8.8
Adilabad,Adilabad Rural,23-Dec-21,0,10.1,29.2,27.6,85.4,0,5.7
Adilabad,Adilabad Rural,24-Dec-21,0,13.4,31,32,82.3,0,4.1
Adilabad,Adilabad Rural,25-Dec-21,0,16,31.3,36.7,89,0,10.8
Adilabad,Adilabad Rural,26-Dec-21,0,13.3,29.7,44.3,96.4,0,9.6
Adilabad,Adilabad Rural,27-Dec-21,0,16,31.1,49.1,98.7,0,7.7
Adilabad,Adilabad Rural,28-Dec-21,0,19.7,30.1,52.6,90.2,0,10.6
Adilabad,Adilabad Rural,29-Dec-21,0,16.8,29.5,54.1,96.7,0,15
Adilabad,Adilabad Rural,30-Dec-21,9.8,16.2,26.1,63,97.2,2.2,8.2
Adilabad,Adilabad Rural,31-Dec-21,0,16.8,22.3,77.6,95.9,0,8.8
Adilabad,Adilabad Urban,01-Dec-21,0,14.6,30.1,38.6,98.2,0,1
Adilabad,Adilabad Urban,02-Dec-21,0,14.3,31.5,29.7,98.6,0,4.3
Adilabad,Adilabad Urban,03-Dec-21,0,18.5,30.9,36.3,97.5,0,0.5
Adilabad,Adilabad Urban,04-Dec-21,0,15.6,31.1,33,98.3,0,3.5
Adilabad,Adilabad Urban,05-Dec-21,0,14.3,31,31.7,98.5,0,2.8
Adilabad,Adilabad Urban,06-Dec-21,0,15,32.3,31.9,98.6,0,3.8
Adilabad,Adilabad Urban,07-Dec-21,0,15.8,32.9,33.9,98.4,0,0.3
Adilabad,Adilabad Urban,08-Dec-21,0,16.4,33.5,35.2,98.5,0,1
Adilabad,Adilabad Urban,09-Dec-21,0,19,32.5,33.9,94,0,3.1
Adilabad,Adilabad Urban,10-Dec-21,0,15.3,32.6,30.6,98.3,0,2.8
Adilabad,Adilabad Urban,11-Dec-21,0,14.9,32.7,31.7,98.6,0,3.9
Adilabad,Adilabad Urban,12-Dec-21,0,14,31.3,31,98.5,0,3.5
Adilabad,Adilabad Urban,13-Dec-21,0,11.8,30.7,35.1,98.6,0,3.2
Adilabad,Adilabad Urban,14-Dec-21,0,12.2,32.3,27.7,98.5,0,2.9
Adilabad,Adilabad Urban,15-Dec-21,0,12.3,31.7,30.4,98.5,0,1.4
Adilabad,Adilabad Urban,16-Dec-21,0,11.5,31.7,31.4,98.6,0,2
Adilabad,Adilabad Urban,17-Dec-21,0,11.3,30,27.1,98.2,0,4.7
Adilabad,Adilabad Urban,18-Dec-21,0,11,30.9,27.7,98.5,0,2.2
Adilabad,Adilabad Urban,19-Dec-21,0,11.4,30.2,30.4,98.7,0,3.1
Adilabad,Adilabad Urban,20-Dec-21,0,8.3,27.2,32.7,98.6,0,2
Adilabad,Adilabad Urban,21-Dec-21,0,5.5,28.2,22.3,97.7,0,2.3
Adilabad,Adilabad Urban,22-Dec-21,0,7,29.2,17.2,96.9,0,1.6
Adilabad,Adilabad Urban,23-Dec-21,0,9,31.1,18.7,97.9,0,0.5
Adilabad,Adilabad Urban,24-Dec-21,0,11.3,32.4,21.3,98,0,0.5
Adilabad,Adilabad Urban,25-Dec-21,0,14.8,33,24,93.1,0,11.9
Adilabad,Adilabad Urban,26-Dec-21,0,13.1,31.9,28.6,98.4,0,0.5
Adilabad,Adilabad Urban,27-Dec-21,0,15.1,33.1,35.5,98.6,0,0.4
Adilabad,Adilabad Urban,28-Dec-21,0,17,32.4,39.7,97.8,0,0.4
Adilabad,Adilabad Urban,29-Dec-21,5,17.4,32.7,36.3,99.2,0,4.3
Adilabad,Adilabad Urban,30-Dec-21,8.9,16.1,30.2,61.8,99,0,0.6
Adilabad,Adilabad Urban,31-Dec-21,0,17,27.3,59.4,98.5,0,0.6
Adilabad,Bazarhathnoor,01-Dec-21,0,14,27,48.1,85.3,0,2.8
Adilabad,Bazarhathnoor,02-Dec-21,0,13.3,27,49.3,89.4,0,2.9
Adilabad,Bazarhathnoor,03-Dec-21,0,18.5,27.8,59.9,88,0,3.3
Adilabad,Bazarhathnoor,04-Dec-21,0,15.4,27.9,57.9,88.7,0,4
Adilabad,Bazarhathnoor,05-Dec-21,0,13.9,27.6,49.8,89.4,0,3.2
Adilabad,Bazarhathnoor,06-Dec-21,0,13.8,27.9,49.8,91.7,0,1.9
Adilabad,Bazarhathnoor,07-Dec-21,0,15.9,29.4,49.7,88.7,0,4.6
Adilabad,Bazarhathnoor,08-Dec-21,0,18,28.6,53.4,85.2,0,3.2
Adilabad,Bazarhathnoor,09-Dec-21,0,18.5,27.9,55.4,82.9,0,4.2
Adilabad,Bazarhathnoor,10-Dec-21,0,15.1,29.1,41.8,89.6,0,2.5
Adilabad,Bazarhathnoor,11-Dec-21,0,13.3,28.5,44.2,92.8,0,2.6
Adilabad,Bazarhathnoor,12-Dec-21,0,13.1,28.1,43.1,90.7,0,3
Adilabad,Bazarhathnoor,13-Dec-21,0,11.9,27.5,48.1,87.8,0,3.3
Adilabad,Bazarhathnoor,14-Dec-21,0,11.4,26.6,45.3,89.6,0,3
Adilabad,Bazarhathnoor,15-Dec-21,0,11.7,26.8,47,91.5,0,3.7
Adilabad,Bazarhathnoor,16-Dec-21,0,10.3,25.7,48.9,90.5,0,3.4
Adilabad,Bazarhathnoor,17-Dec-21,0,9.7,26.9,42,91,0,5.2
Adilabad,Bazarhathnoor,18-Dec-21,0,9.4,26.8,43.1,92,0,3.2
Adilabad,Bazarhathnoor,19-Dec-21,0,12.5,25.6,48.9,89.4,0,2.8
Adilabad,Bazarhathnoor,20-Dec-21,0,9.6,24.7,52,88.2,0,4.1
Adilabad,Bazarhathnoor,21-Dec-21,0,5.3,23.9,39.9,87.3,0,3.8
Adilabad,Bazarhathnoor,22-Dec-21,0,6.1,25.6,27.9,87.5,0,2.9
Adilabad,Bazarhathnoor,23-Dec-21,0,9.9,28.8,30.1,86.9,0,2.1
Adilabad,Bazarhathnoor,24-Dec-21,0,11,29.3,33.8,88.7,0,2.3
Adilabad,Bazarhathnoor,25-Dec-21,0,12.2,29.7,38.6,91.7,0,2.6
Adilabad,Bazarhathnoor,26-Dec-21,0,12.2,28.5,44.8,92.8,0,2.7
Adilabad,Bazarhathnoor,27-Dec-21,0,14,29.1,50.4,95,0,2.7
Adilabad,Bazarhathnoor,28-Dec-21,0,14.7,28.3,62.3,97,0,5.2
Adilabad,Bazarhathnoor,29-Dec-21,0,15.9,27.6,57.4,97.3,0.1,5.4
Adilabad,Bazarhathnoor,30-Dec-21,0,16,25.5,64.8,89.4,0,5.3
Adilabad,Bazarhathnoor,31-Dec-21,0,16.4,21.8,75.2,93.5,0.1,5.8
Adilabad,Bela,01-Dec-21,0,14.1,29.9,32.8,97.7,0,1.7
Adilabad,Bela,02-Dec-21,0,13.5,30.5,35.1,100,0,1.9
Adilabad,Bela,03-Dec-21,0,17.8,31.6,46.9,100,0,1
Adilabad,Bela,04-Dec-21,0,15.3,30.4,40.5,100,0,1.2
Adilabad,Bela,05-Dec-21,0,13.5,30.8,36.7,100,0,1.3
Adilabad,Bela,06-Dec-21,0,14.3,31.4,35.4,100,0,1.7
Adilabad,Bela,07-Dec-21,0,15.1,32.4,39.8,100,0,0.9
Adilabad,Bela,08-Dec-21,0,15.6,31.7,43.1,100,0,1
Adilabad,Bela,09-Dec-21,0,16.8,31.9,31.1,98.6,0,1.7
Adilabad,Bela,10-Dec-21,0,14.8,31.4,37.3,100,0,1.3
Adilabad,Bela,11-Dec-21,0,15,31,36.2,100,0,1.7
Adilabad,Bela,12-Dec-21,0,13.8,31.1,36.2,100,0,1.5
Adilabad,Bela,13-Dec-21,0,10.9,30.9,31.5,100,0,1.2
Adilabad,Bela,14-Dec-21,0,10.7,29.8,32.1,100,0,1.4
Adilabad,Bela,15-Dec-21,0,11.5,30.1,34.6,100,0,2.7
Adilabad,Bela,16-Dec-21,0,10.7,30,28.9,98.9,0,1.9
Adilabad,Bela,17-Dec-21,0,10.4,29.9,29.5,97.9,0,2.1
Adilabad,Bela,18-Dec-21,0,9.7,30.3,28.9,100,0,1.5
Adilabad,Bela,19-Dec-21,0,10.7,29.6,36.7,100,0,1.2
Adilabad,Bela,20-Dec-21,0,7.6,28.6,35.1,96.1,0,1.5
Adilabad,Bela,21-Dec-21,0,3.8,27.3,18.2,96.5,0,0.8
Adilabad,Bela,22-Dec-21,0,5.9,28.8,11,94.9,0,1.3
Adilabad,Bela,23-Dec-21,0,8.5,31.9,13.5,92.9,0,0.9
Adilabad,Bela,24-Dec-21,0,10.1,31.3,20.8,96.5,0,1.5
Adilabad,Bela,25-Dec-21,0,15.3,33,21.4,92,0,1
Adilabad,Bela,26-Dec-21,0,12.1,31,32.8,100,0,1
Adilabad,Bela,27-Dec-21,0,14.8,31.2,41.6,100,0,1.1
Adilabad,Bela,28-Dec-21,0,17,30.4,50.3,100,0.1,1.8
Adilabad,Bela,29-Dec-21,4.5,17.7,31.8,39.8,100,0,3.1
Adilabad,Bela,30-Dec-21,5.8,16.2,26.2,64.6,100,0,1.6
Adilabad,Bela,31-Dec-21,0,16.4,24.8,74.7,100,0,2.1
Adilabad,Bheempoor,01-Dec-21,0,14.2,29.5,46.4,98.5,0,1
Adilabad,Bheempoor,02-Dec-21,0,13.9,29.5,44.4,99.8,0,1.8
Adilabad,Bheempoor,03-Dec-21,0,18.6,29.6,57.6,98.6,0,1
Adilabad,Bheempoor,04-Dec-21,0,15.2,30.2,49.8,98.1,0,0.6
Adilabad,Bheempoor,05-Dec-21,0,13.8,29.9,44.8,99.5,0,1.5
Adilabad,Bheempoor,06-Dec-21,0,15.1,30.9,46.4,99.5,0,1.1
Adilabad,Bheempoor,07-Dec-21,0,14.9,31.8,49.1,99.4,0,1.1
Adilabad,Bheempoor,08-Dec-21,0,14.9,30.9,53.6,100,0,0.9
Adilabad,Bheempoor,09-Dec-21,0,19.3,30.5,49.5,95.8,0,2.2
Adilabad,Bheempoor,10-Dec-21,0,14.4,30.7,50,99.4,0,0.9
Adilabad,Bheempoor,11-Dec-21,0,14.2,30.5,52.2,100,0,2.4
Adilabad,Bheempoor,12-Dec-21,0,13.2,30,51.4,99.4,0,1.9
Adilabad,Bheempoor,13-Dec-21,0,10.5,29.5,43.8,99.4,0,1.5
Adilabad,Bheempoor,14-Dec-21,0,10.8,29.6,44.4,99.4,0,1
Adilabad,Bheempoor,15-Dec-21,0,11.3,28.6,47,99.4,0,2.2
Adilabad,Bheempoor,16-Dec-21,0,9.8,28.2,48.6,99.6,0,2.1
Adilabad,Bheempoor,17-Dec-21,0,9.4,28.4,43.7,99.5,0,1.9
Adilabad,Bheempoor,18-Dec-21,0,9.7,29.1,42.1,98.8,0,0.8
Adilabad,Bheempoor,19-Dec-21,0,10.2,28.6,46,99,0,1.7
Adilabad,Bheempoor,20-Dec-21,0,6.2,27,46.9,99.6,0,1.1
Adilabad,Bheempoor,21-Dec-21,0,3.9,26.8,31.5,97.8,0,1.2
Adilabad,Bheempoor,22-Dec-21,0,5.9,28.3,27.3,97.4,0,1.1
Adilabad,Bheempoor,23-Dec-21,0,7.6,29.8,28.7,97,0,0.6
Adilabad,Bheempoor,24-Dec-21,0,9.5,30.9,33.3,97.1,0,0.6
Adilabad,Bheempoor,25-Dec-21,0,12.2,32,39.1,98.1,0,1.6
Adilabad,Bheempoor,26-Dec-21,0,11.5,30.5,41.2,98.8,0,0.6
Adilabad,Bheempoor,27-Dec-21,0,13.6,30.2,44.9,99.1,0,1.1
Adilabad,Bheempoor,28-Dec-21,0,15.9,28.9,61,100,0,1.3
Adilabad,Bheempoor,29-Dec-21,13,17.7,30.2,50.9,100,0,2.9
Adilabad,Bheempoor,30-Dec-21,0,15.9,23.8,81.2,100,0,0.9
Adilabad,Bheempoor,31-Dec-21,0,15.3,24.3,71.6,100,0,1.4
Adilabad,Boath,01-Dec-21,0,13.7,28.7,43.9,91.5,0,4
Adilabad,Boath,02-Dec-21,0,13.4,28.7,42.4,91.9,0,4
Adilabad,Boath,03-Dec-21,0,17.4,29.6,55.8,95.1,0,5
Adilabad,Boath,04-Dec-21,0,14.4,29.5,53.8,91.9,0,6.7
Adilabad,Boath,05-Dec-21,0,13.9,28.5,40.5,91,0,4.7
Adilabad,Boath,06-Dec-21,0,14.9,29,41.6,94.8,0,1.9
Adilabad,Boath,07-Dec-21,0,14.6,30.2,45,93.5,0,7.5
Adilabad,Boath,08-Dec-21,0,15.1,30.3,47.8,94.3,0,5.2
Adilabad,Boath,09-Dec-21,0,17,29.7,45.2,89.1,0,6.2
Adilabad,Boath,10-Dec-21,0,14.1,30.9,41.4,94.3,0,3.8
Adilabad,Boath,11-Dec-21,0,13.1,29.7,43.3,93.4,0,3.6
Adilabad,Boath,12-Dec-21,0,12.6,30.1,41.6,92.4,0,4.3
Adilabad,Boath,13-Dec-21,0,11.5,28.8,41.7,90.4,0,5.1
Adilabad,Boath,14-Dec-21,0,11.6,28.4,40.4,90.9,0,4.4
Adilabad,Boath,15-Dec-21,0,12,28.2,44.3,91.9,0,5.9
Adilabad,Boath,16-Dec-21,0,9.7,27.4,41.9,93.2,0,5
Adilabad,Boath,17-Dec-21,0,9.1,28.2,35.8,92.2,0,7.4
Adilabad,Boath,18-Dec-21,0,9.6,28.7,39.6,92.2,0,4.4
Adilabad,Boath,19-Dec-21,0,10.8,27.3,42.4,88.6,0,3.6
Adilabad,Boath,20-Dec-21,0,7.2,26.6,44.4,92.4,0,6.4
Adilabad,Boath,21-Dec-21,0,5.2,26.3,36.8,85.7,0,5.8
Adilabad,Boath,22-Dec-21,0,5.8,27.8,24.9,85,0,4.7
Adilabad,Boath,23-Dec-21,0,7.2,30.9,24.1,86.8,0,2.8
Adilabad,Boath,24-Dec-21,0,8.8,31.5,29.2,89.7,0,3.3
Adilabad,Boath,25-Dec-21,0,12.3,31.9,34.3,91.9,0,3.5
Adilabad,Boath,26-Dec-21,0,12.2,30.2,41.7,92.9,0,3.9
Adilabad,Boath,27-Dec-21,0,14.1,29.5,50.8,94.6,0,3.7
Adilabad,Boath,28-Dec-21,0,14.8,29.1,56,97.3,0,8.9
Adilabad,Boath,29-Dec-21,0,14.5,28.9,53.4,95,0,8.4
Adilabad,Boath,30-Dec-21,21,15.8,27.9,56.1,96.2,0,9
Adilabad,Boath,31-Dec-21,0,16.7,23,70,95.8,0,9.3
Adilabad,Gadiguda,01-Dec-21,0,13.8,28.7,35.4,93.5,0,0.6
Adilabad,Gadiguda,02-Dec-21,0,13.4,28.2,38.5,98.4,0,1.4
Adilabad,Gadiguda,03-Dec-21,0,16.5,31,45.2,98.7,0,0.7
Adilabad,Gadiguda,04-Dec-21,0,14.7,29,45.2,98.2,0,0.8
Adilabad,Gadiguda,05-Dec-21,0,14.6,30.2,37.7,98.2,0,1
Adilabad,Gadiguda,06-Dec-21,0,15.1,29.6,41.7,99.6,0,0.5
Adilabad,Gadiguda,07-Dec-21,0,15.9,31.5,39.2,96.8,0,0.5
Adilabad,Gadiguda,08-Dec-21,0,15.5,30.2,44,98.7,0,0.6
Adilabad,Gadiguda,09-Dec-21,0,16.2,29.3,43.5,98.1,0,1.4
Adilabad,Gadiguda,10-Dec-21,0,15.4,29.8,40,98.2,0,0.7
Adilabad,Gadiguda,11-Dec-21,0,14.6,29.4,41.2,99.7,0,0.8
Adilabad,Gadiguda,12-Dec-21,0,13.1,29.4,39.4,97.9,0,1.1
Adilabad,Gadiguda,13-Dec-21,0,11.3,28.7,37.9,96.6,0,0.7
Adilabad,Gadiguda,14-Dec-21,0,11.6,27.9,37.4,97.9,0,0.8
Adilabad,Gadiguda,15-Dec-21,0,12.2,28,36.8,97.9,0,2.5
Adilabad,Gadiguda,16-Dec-21,0,10.8,27.6,34.5,98,0,1.4
Adilabad,Gadiguda,17-Dec-21,0,10.1,27.5,33.9,97.6,0,1.5
Adilabad,Gadiguda,18-Dec-21,0,11.1,28.4,35.4,98,0,1.1
Adilabad,Gadiguda,19-Dec-21,0,10.9,27.1,40.3,98.4,0,1
Adilabad,Gadiguda,20-Dec-21,0,7.5,26.1,42.7,93.9,0,1.1
Adilabad,Gadiguda,21-Dec-21,0,5.4,25.7,23.6,91,0,0.8
Adilabad,Gadiguda,22-Dec-21,0,7.3,28,18.2,89,0,0.8
Adilabad,Gadiguda,23-Dec-21,0,9,29.6,21.8,90.2,0,0.8
Adilabad,Gadiguda,24-Dec-21,0,10.8,30.8,25.2,93.9,0,1.2
Adilabad,Gadiguda,25-Dec-21,0,13.9,32.2,29.6,96.5,0,1
Adilabad,Gadiguda,26-Dec-21,0,13.1,29.3,38.2,98.7,0,1
Adilabad,Gadiguda,27-Dec-21,0,14.9,29.6,48.7,99.7,0,1
Adilabad,Gadiguda,28-Dec-21,0,15.8,30.6,45.8,100,0.1,1.8
Adilabad,Gadiguda,29-Dec-21,0,17,29.8,46.9,99.6,0,3.1
Adilabad,Gadiguda,30-Dec-21,32.5,15.9,26.2,54.7,100,0,0.7
Adilabad,Gadiguda,31-Dec-21,0,16.3,21.3,80.8,98.2,0,2.2
Adilabad,Gudihathnur,01-Dec-21,0,16.4,27.6,46.6,75.1,0,1.8
Adilabad,Gudihathnur,02-Dec-21,0,15.3,28.7,45.4,77.9,0,2.4
Adilabad,Gudihathnur,03-Dec-21,0,18.8,28.9,62.4,92.8,0,1.6
Adilabad,Gudihathnur,04-Dec-21,0,16.7,29.4,55.3,81.9,0,2.2
Adilabad,Gudihathnur,05-Dec-21,0,16.2,29.2,47.2,78.3,0,1.8
Adilabad,Gudihathnur,06-Dec-21,0,16.5,29.7,49.9,80.2,0,2.6
Adilabad,Gudihathnur,07-Dec-21,0,17.3,31.5,47.6,80.3,0,2
Adilabad,Gudihathnur,08-Dec-21,0,17.5,30.4,53.2,80.3,0,2.5
Adilabad,Gudihathnur,09-Dec-21,0,19.5,30.5,45.8,74.8,0,1.4
Adilabad,Gudihathnur,10-Dec-21,0,16.6,31.3,41.8,81.2,0,1.6
Adilabad,Gudihathnur,11-Dec-21,0,16.7,30.4,47,82.7,0,2.2
Adilabad,Gudihathnur,12-Dec-21,0,16.2,29.7,45.3,78.8,0,1.4
Adilabad,Gudihathnur,13-Dec-21,0,13.3,29.3,61.4,87.6,0,1.7
Adilabad,Gudihathnur,14-Dec-21,0,13.1,28.6,42,81.5,0,1.7
Adilabad,Gudihathnur,15-Dec-21,0,13.4,28.4,43.7,83.4,0,1.8
Adilabad,Gudihathnur,16-Dec-21,0,12.7,27.6,42.6,80.5,0,2.1
Adilabad,Gudihathnur,17-Dec-21,0,12.3,29.1,42,81,0,2
Adilabad,Gudihathnur,18-Dec-21,0,12.6,29.1,39.7,82,0,2.3
Adilabad,Gudihathnur,19-Dec-21,0,13.7,27.3,45.4,79.7,0,1.9
Adilabad,Gudihathnur,20-Dec-21,0,10.4,26.5,48.9,83.2,0,2.3
Adilabad,Gudihathnur,21-Dec-21,0,7.5,26.3,34.7,74.3,0,2.2
Adilabad,Gudihathnur,22-Dec-21,0,7.8,27.8,23.3,74.8,0,2
Adilabad,Gudihathnur,23-Dec-21,0,8.9,29.9,24.5,78.9,0,0.8
Adilabad,Gudihathnur,24-Dec-21,0,11.2,30.7,30.7,78.1,0,1
Adilabad,Gudihathnur,25-Dec-21,0,13.9,32.8,32.4,90.8,0,1.6
Adilabad,Gudihathnur,26-Dec-21,0,14.2,29.8,43.5,82.9,0,1.7
Adilabad,Gudihathnur,27-Dec-21,0,15.5,30.2,53.2,94.9,0,1.1
Adilabad,Gudihathnur,28-Dec-21,0,17.4,31.4,54.7,94.9,0,0.6
Adilabad,Gudihathnur,29-Dec-21,0,16.8,29.6,60.4,90.6,0,2.3
Adilabad,Gudihathnur,30-Dec-21,5.9,15.5,27.5,66.5,94.9,0,1.8
Adilabad,Gudihathnur,31-Dec-21,0,16.3,22.6,74.3,93.6,0.1,2.6
Adilabad,Ichoda,01-Dec-21,0,17.3,28.1,43,71.9,0,1.8
Adilabad,Ichoda,02-Dec-21,0,14.9,28.6,46.6,85.2,0,2.4
Adilabad,Ichoda,03-Dec-21,0,19.3,28.5,61,87.5,0,1.6
Adilabad,Ichoda,04-Dec-21,0,16.8,28.8,58.9,84,0,2.2
Adilabad,Ichoda,05-Dec-21,0,15.5,28.8,48.8,85.5,0,1.8
Adilabad,Ichoda,06-Dec-21,0,15.7,29.5,50.1,87.8,0,2.6
Adilabad,Ichoda,07-Dec-21,0,17.8,30.7,49.6,85.9,0,2
Adilabad,Ichoda,08-Dec-21,0,19,29.9,54.4,83,0,2.5
Adilabad,Ichoda,09-Dec-21,0,19.4,29.2,52.1,78.9,0,1.4
Adilabad,Ichoda,10-Dec-21,0,16.6,30.4,44.6,86.3,0,1.6
Adilabad,Ichoda,11-Dec-21,0,16.7,29.8,48.4,89.5,0,2.2
Adilabad,Ichoda,12-Dec-21,0,16.3,29,43.5,82.5,0,1.4
Adilabad,Ichoda,13-Dec-21,0,13.5,28.9,45.2,84.3,0,1.7
Adilabad,Ichoda,14-Dec-21,0,13.3,28.1,43.7,86.3,0,1.7
Adilabad,Ichoda,15-Dec-21,0,13.4,28,46.2,88.1,0,1.8
Adilabad,Ichoda,16-Dec-21,0,12.3,27.2,45.6,86.8,0,2.1
Adilabad,Ichoda,17-Dec-21,0,12,28.5,42.5,86.3,0,2
Adilabad,Ichoda,18-Dec-21,0,15,28.3,41.2,80.7,0,2.3
Adilabad,Ichoda,19-Dec-21,0,15.4,26.8,43.5,83.4,0,1.9
Adilabad,Ichoda,20-Dec-21,0,11.4,25.7,45.4,86.4,0,2.3
Adilabad,Ichoda,21-Dec-21,0,7.4,25.1,34.9,82,0,2.2
Adilabad,Ichoda,22-Dec-21,0,8.1,26.6,25.3,82.2,0,2
Adilabad,Ichoda,23-Dec-21,0,10.1,28.7,28.2,83.8,0,0.8
Adilabad,Ichoda,24-Dec-21,0,15,30.1,29.9,70.1,0,1
Adilabad,Ichoda,25-Dec-21,0,15.7,30.6,35,89.7,0,1.6
Adilabad,Ichoda,26-Dec-21,0,15.7,30.1,38.3,87.9,0,1.7
Adilabad,Ichoda,27-Dec-21,0,16.1,29.4,47.8,100,0,1.1
Adilabad,Ichoda,28-Dec-21,0,17.2,27.6,61.3,100,0,0.6
Adilabad,Ichoda,29-Dec-21,0,17.1,28.7,52.4,94.7,0,2.3
Adilabad,Ichoda,30-Dec-21,0,15.7,26.1,60.9,97.1,0,1.8
Adilabad,Ichoda,31-Dec-21,0,16.5,22.7,76.1,100,0.1,2.6
Adilabad,Inderavelly,01-Dec-21,0,16.6,28.3,46.3,83.3,0,12.3
Adilabad,Inderavelly,02-Dec-21,0,15.1,29,45.3,87.5,0,13.9
Adilabad,Inderavelly,03-Dec-21,0,18.8,30.1,57.1,92.1,0,8.7
Adilabad,Inderavelly,04-Dec-21,0,16.5,29.1,56.2,87.3,0,13.6
Adilabad,Inderavelly,05-Dec-21,0,15.7,28.8,32.5,88.4,0,12.7
Adilabad,Inderavelly,06-Dec-21,0,16.5,29.8,49.9,96.7,0,13.4
Adilabad,Inderavelly,07-Dec-21,0,18.6,31,50.3,87.9,0,9.5
Adilabad,Inderavelly,08-Dec-21,0,18.8,29.9,55.1,89.3,1.3,9.6
Adilabad,Inderavelly,09-Dec-21,0,18.7,29.6,50.2,83.5,0,10.6
Adilabad,Inderavelly,10-Dec-21,0,16.5,30.7,44.9,89.6,0,11.6
Adilabad,Inderavelly,11-Dec-21,0,16.3,30.1,50.5,89.5,0,12.6
Adilabad,Inderavelly,12-Dec-21,0,16.7,29.7,46.8,87.4,0,12.9
Adilabad,Inderavelly,13-Dec-21,0,13.5,29.3,44.1,86.1,0,14.5
Adilabad,Inderavelly,14-Dec-21,0,13.4,28.5,43.2,88,0,10.3
Adilabad,Inderavelly,15-Dec-21,0,13.6,28.3,45.3,88.4,0,10.6
Adilabad,Inderavelly,16-Dec-21,0,12.8,27.7,43.7,87.8,0,15
Adilabad,Inderavelly,17-Dec-21,0,12.9,29.1,42.1,84.2,0,11.4
Adilabad,Inderavelly,18-Dec-21,0,12.9,28.8,42,88.6,0,11.8
Adilabad,Inderavelly,19-Dec-21,0,13.2,27.6,45.9,86.4,0,13.6
Adilabad,Inderavelly,20-Dec-21,0,9.7,26.3,50.7,88.4,0,12.5
Adilabad,Inderavelly,21-Dec-21,0,7.8,25.8,37.4,81,0,10.9
Adilabad,Inderavelly,22-Dec-21,0,8.5,27.2,26.3,81.2,3.1,9.2
Adilabad,Inderavelly,23-Dec-21,0,10.3,29.6,27.1,82.6,0,3.3
Adilabad,Inderavelly,24-Dec-21,0,13.1,31,32.6,81.4,0,5.1
Adilabad,Inderavelly,25-Dec-21,0,15.1,32,36.7,89.9,0.6,9.8
Adilabad,Inderavelly,26-Dec-21,0,14.4,29.7,45,89.5,0,8.5
Adilabad,Inderavelly,27-Dec-21,0,16.3,30.1,53.6,95.7,0,8.9
Adilabad,Inderavelly,28-Dec-21,0,18.5,29.8,59.7,91.8,0.5,7.1
Adilabad,Inderavelly,29-Dec-21,0,17.5,29.4,60,92.9,0,15.5
Adilabad,Inderavelly,30-Dec-21,7.5,16.4,26.9,70.8,94.3,3.1,19.8
Adilabad,Inderavelly,31-Dec-21,0,17.1,22.9,76.7,94.5,0,17.1
Adilabad,Jainad,01-Dec-21,0,14.2,31.6,35.2,100,0,2.4
Adilabad,Jainad,02-Dec-21,0,13.8,31.9,35.5,100,0,7.9
Adilabad,Jainad,03-Dec-21,0,18.3,32.3,47.5,100,0,1.3
Adilabad,Jainad,04-Dec-21,0,15,32.5,40.7,100,0,6.3
Adilabad,Jainad,05-Dec-21,0,14,32.7,36.3,100,0,5
Adilabad,Jainad,06-Dec-21,0,15,32.9,39.7,100,0,7
