District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Adilabad Rural,01-Jun-21,7.5,26.8,37.2,27.9,68.5,0.2,7
Adilabad,Adilabad Rural,02-Jun-21,5.3,23.7,36.3,32.7,85.6,0,4.2
Adilabad,Adilabad Rural,03-Jun-21,0,25.3,33.3,48.6,84.2,0,2
Adilabad,Adilabad Rural,04-Jun-21,0,27.5,35.8,38.5,57.9,0.3,3.7
Adilabad,Adilabad Rural,05-Jun-21,20.5,23.5,32.8,39,88.4,0,8.7
Adilabad,Adilabad Rural,06-Jun-21,0,25.5,33.4,36.1,67.3,0,2.3
Adilabad,Adilabad Rural,07-Jun-21,0,26.1,36.1,35.1,73.1,0,3.5
Adilabad,Adilabad Rural,08-Jun-21,0,26.7,34.2,39.2,78.1,0,3.8
Adilabad,Adilabad Rural,09-Jun-21,0,25.8,34.7,38.1,86.8,0.2,4.5
Adilabad,Adilabad Rural,10-Jun-21,0,25.5,35,43.7,79.2,0.3,2.5
Adilabad,Adilabad Rural,11-Jun-21,6.8,23.5,33.3,49.1,88.1,0.3,2.5
Adilabad,Adilabad Rural,12-Jun-21,36,22.2,30.6,71.1,88.9,0.1,3.5
Adilabad,Adilabad Rural,13-Jun-21,0,24.7,31,63.9,87.8,0.2,3.1
Adilabad,Adilabad Rural,14-Jun-21,55.8,22.5,34.1,64.4,100,0.7,3.8
Adilabad,Adilabad Rural,15-Jun-21,84.5,21.5,34.6,55.6,100,0.1,2.8
Adilabad,Adilabad Rural,16-Jun-21,24.5,22,36.7,44.2,95.6,0.2,3.5
Adilabad,Adilabad Rural,17-Jun-21,0,25,35,45.4,66,0.2,4.7
Adilabad,Adilabad Rural,18-Jun-21,13.3,23.7,31.5,52.2,99.2,0,3.4
Adilabad,Adilabad Rural,19-Jun-21,0,26.8,35.2,42.8,78.4,0.8,4.3
Adilabad,Adilabad Rural,20-Jun-21,1.3,25.1,34.7,43.8,82.2,0.3,2.4
Adilabad,Adilabad Rural,21-Jun-21,0,24.5,35.1,44.1,81,0,2.7
Adilabad,Adilabad Rural,22-Jun-21,0,27.5,36.9,34.8,76.2,0,2.7
Adilabad,Adilabad Rural,23-Jun-21,15.5,23.4,36.4,36.2,100,0,3
Adilabad,Adilabad Rural,24-Jun-21,0.8,24.9,32.5,57.5,92.6,0.1,1.8
Adilabad,Adilabad Rural,25-Jun-21,0,24.9,33,55,73,0.1,2.6
Adilabad,Adilabad Rural,26-Jun-21,0,25.7,34,53,86.4,0.2,3.7
Adilabad,Adilabad Rural,27-Jun-21,25.5,22.6,34.8,46.6,92.1,0,3.9
Adilabad,Adilabad Rural,28-Jun-21,42.3,23.8,35.8,44.6,84.4,0,3.7
Adilabad,Adilabad Rural,29-Jun-21,10,26.8,33.6,55.5,87.6,0,3.3
Adilabad,Adilabad Rural,30-Jun-21,0,27.4,36.6,42.2,84.5,0,1.8
Adilabad,Adilabad Urban,01-Jun-21,0,28.5,39.8,28.7,67.8,0,8
Adilabad,Adilabad Urban,02-Jun-21,40.8,23.6,39.4,32,96.3,0,7.7
Adilabad,Adilabad Urban,03-Jun-21,0,24.8,33,53.8,96.2,0,2.6
Adilabad,Adilabad Urban,04-Jun-21,0,27.7,34.6,41.1,80.3,0,7.4
Adilabad,Adilabad Urban,05-Jun-21,12.6,23.7,32.6,45.4,94.6,0,11.2
Adilabad,Adilabad Urban,06-Jun-21,0,25.7,33.7,41.6,84.2,0,7
Adilabad,Adilabad Urban,07-Jun-21,3.5,25.8,37.1,39.1,92.3,0,8.3
Adilabad,Adilabad Urban,08-Jun-21,0,27.3,35.7,43,85.7,0,6.4
Adilabad,Adilabad Urban,09-Jun-21,0.7,25.6,37.1,43.8,93.5,0,7
Adilabad,Adilabad Urban,10-Jun-21,0,26.4,35,45.2,85,0.1,8.3
Adilabad,Adilabad Urban,11-Jun-21,50,23.4,32.4,53.6,97.2,0,8.7
Adilabad,Adilabad Urban,12-Jun-21,41.7,22.2,30,65.3,98.1,0,8.5
Adilabad,Adilabad Urban,13-Jun-21,0.5,25,29.3,72.7,91.4,0,4.3
Adilabad,Adilabad Urban,14-Jun-21,62.5,22.9,33.6,55.3,97.8,0.1,9.7
Adilabad,Adilabad Urban,15-Jun-21,73.5,23.3,32.8,61.2,97.9,0.1,7
Adilabad,Adilabad Urban,16-Jun-21,0,25.4,34.2,50.8,92.9,0,7.2
Adilabad,Adilabad Urban,17-Jun-21,0.4,25.9,33,53.2,86.7,0,5.8
Adilabad,Adilabad Urban,18-Jun-21,7.3,24.2,31.5,59.9,96.9,0,8.8
Adilabad,Adilabad Urban,19-Jun-21,7,25.6,33,50.8,95.2,0,9.5
Adilabad,Adilabad Urban,20-Jun-21,0,26,32.6,53.8,83.8,0,7.3
Adilabad,Adilabad Urban,21-Jun-21,0,25.7,33.7,43.1,85.5,0,7.2
Adilabad,Adilabad Urban,22-Jun-21,0,27,35.3,41.1,79.8,0,4.4
Adilabad,Adilabad Urban,23-Jun-21,66.8,24.3,35.9,44.1,98.5,0,8.1
Adilabad,Adilabad Urban,24-Jun-21,0.4,25,30.6,68.5,92.7,0,3.3
Adilabad,Adilabad Urban,25-Jun-21,0,25.1,31.5,65.3,92.1,0,4.1
Adilabad,Adilabad Urban,26-Jun-21,1.4,25.6,32.5,63.8,90.2,0,6.4
Adilabad,Adilabad Urban,27-Jun-21,9,25.2,35.3,48.8,95.1,0,4.6
Adilabad,Adilabad Urban,28-Jun-21,24.1,24,34.3,54.2,98,0,5.7
Adilabad,Adilabad Urban,29-Jun-21,14.3,25.5,32.4,62.6,99.9,0,6.1
Adilabad,Adilabad Urban,30-Jun-21,0,26.3,34.6,51.1,94.5,0,5.7
Adilabad,Bazarhathnoor,01-Jun-21,0,25,36.5,39.4,73.6,0,3.5
Adilabad,Bazarhathnoor,02-Jun-21,52.4,22.2,36.7,39.9,92,0.1,3.9
Adilabad,Bazarhathnoor,03-Jun-21,0,24.6,32.4,52.8,85.3,0,2.2
Adilabad,Bazarhathnoor,04-Jun-21,0,25.6,32.7,52.8,79.6,0,0.1
Adilabad,Bazarhathnoor,05-Jun-21,29.4,21.6,32.2,56.8,92.4,0,6
Adilabad,Bazarhathnoor,06-Jun-21,1.7,22.8,33.4,50.1,89.2,0,7.5
Adilabad,Bazarhathnoor,07-Jun-21,0.3,24.7,34.7,47.1,82.4,0.1,8
Adilabad,Bazarhathnoor,08-Jun-21,0,24.9,34.6,42.3,79.6,0.1,8.8
Adilabad,Bazarhathnoor,09-Jun-21,0,24.2,35,49.9,86.7,0,4
Adilabad,Bazarhathnoor,10-Jun-21,0,24.7,32.4,55.3,80.6,0.2,2.4
Adilabad,Bazarhathnoor,11-Jun-21,7.3,22.2,31.1,61.4,88.2,0.1,9.1
Adilabad,Bazarhathnoor,12-Jun-21,24.3,21.2,29.6,66.4,93.4,0.1,9.4
Adilabad,Bazarhathnoor,13-Jun-21,0,23.5,28.8,75.2,85.3,0.1,1.3
Adilabad,Bazarhathnoor,14-Jun-21,97.6,22.1,33,56.4,93.9,0.1,3.2
Adilabad,Bazarhathnoor,15-Jun-21,20.7,23,32.1,64.4,92.4,0,8.4
Adilabad,Bazarhathnoor,16-Jun-21,1.1,23.5,33.6,52.3,88.1,0.1,7.7
Adilabad,Bazarhathnoor,17-Jun-21,7.7,23.7,32.4,56.4,90.9,0.1,6.2
Adilabad,Bazarhathnoor,18-Jun-21,31.4,22,29.1,70.6,92.4,0,5.4
Adilabad,Bazarhathnoor,19-Jun-21,2.3,23.8,31.8,56.4,87.2,0.9,4
Adilabad,Bazarhathnoor,20-Jun-21,0,23.8,31.9,55.4,81.7,0.2,3.1
Adilabad,Bazarhathnoor,21-Jun-21,0.7,24.4,33.1,48.4,73.1,0.2,3.4
Adilabad,Bazarhathnoor,22-Jun-21,0,25.3,34,45.9,74.8,0.1,2.1
Adilabad,Bazarhathnoor,23-Jun-21,2.1,24.2,34,48.2,90.9,0,4.5
Adilabad,Bazarhathnoor,24-Jun-21,0,23.9,29.1,64.9,84.3,0,3.1
Adilabad,Bazarhathnoor,25-Jun-21,0.4,23.5,31.1,59.9,84.8,0,2.2
Adilabad,Bazarhathnoor,26-Jun-21,9.8,23.9,30.9,61.4,88.1,0.2,2
Adilabad,Bazarhathnoor,27-Jun-21,7.1,23.7,33.3,54.3,89,0,1.6
Adilabad,Bazarhathnoor,28-Jun-21,94.9,22.5,32.4,57.4,93.9,0,2.8
Adilabad,Bazarhathnoor,29-Jun-21,10.6,24,32.1,77.2,92.8,0,2.5
Adilabad,Bazarhathnoor,30-Jun-21,0,25.3,33.8,54.3,85.7,0.1,2
Adilabad,Bela,01-Jun-21,8,24.6,40,32.1,88.7,0.3,5
Adilabad,Bela,02-Jun-21,6.1,23.7,38.1,40.7,94.5,0,3.6
Adilabad,Bela,03-Jun-21,0.3,25,34.4,47.3,94.9,0,1.4
Adilabad,Bela,04-Jun-21,0,27.9,36.3,45.7,78.7,0,2.9
Adilabad,Bela,05-Jun-21,22.3,22.4,34.2,47.1,98.4,0,6.5
Adilabad,Bela,06-Jun-21,0,24.7,35.9,44.4,100,0,2.5
Adilabad,Bela,07-Jun-21,13.2,24.8,36.3,45,96.2,0,8.8
Adilabad,Bela,08-Jun-21,0,27.2,35.4,44.2,100,0,3.3
Adilabad,Bela,09-Jun-21,29.1,24.7,36.3,46.9,97,0,3.8
Adilabad,Bela,10-Jun-21,1.8,25.8,35.9,45.8,100,0,2.8
Adilabad,Bela,11-Jun-21,74.9,23.7,34.3,56.9,97,0,2.1
Adilabad,Bela,12-Jun-21,23.5,22.2,31.2,69.7,97.7,0.2,2.8
Adilabad,Bela,13-Jun-21,14.2,24.2,31.2,70.1,97.1,0,2.9
Adilabad,Bela,14-Jun-21,29.7,23.3,35.3,62.7,97.9,0.1,3.8
Adilabad,Bela,15-Jun-21,31.1,21.8,35.1,63.1,97.2,0,2.2
Adilabad,Bela,16-Jun-21,4.8,24.7,36.4,54,93.6,0,3.5
Adilabad,Bela,17-Jun-21,0,25.2,35.1,54.8,88.4,0.2,3.6
Adilabad,Bela,18-Jun-21,2.9,24.1,32.8,65.2,98.6,0,3.1
Adilabad,Bela,19-Jun-21,0.3,25.9,34.8,54.5,91.5,0.6,3.5
Adilabad,Bela,20-Jun-21,0.3,25.2,34.4,54,86.3,0.3,4.3
Adilabad,Bela,21-Jun-21,0,25.8,36.2,47.6,82.5,0,4.3
Adilabad,Bela,22-Jun-21,0,27,36.1,41.3,79,0,2.9
Adilabad,Bela,23-Jun-21,12.8,24.4,36.5,46.4,98.1,0,4.2
Adilabad,Bela,24-Jun-21,0,25.1,33.1,68.1,90.9,0,1.5
Adilabad,Bela,25-Jun-21,9.3,24.8,33.2,59.8,97.1,0.1,2.8
Adilabad,Bela,26-Jun-21,8.2,23.9,32.4,58.1,90.7,0,2.5
Adilabad,Bela,27-Jun-21,27,23.2,35.3,47.6,97,0,3.6
Adilabad,Bela,28-Jun-21,10.3,24.3,35.6,58.4,97.7,0.1,3.1
Adilabad,Bela,29-Jun-21,9.3,25.6,34.4,58.4,96.4,0,2.9
Adilabad,Bela,30-Jun-21,0,27,36.5,50.6,90.7,0,1.8
Adilabad,Bheempoor,01-Jun-21,6.3,27.2,38,39.2,78.8,0,2.3
Adilabad,Bheempoor,02-Jun-21,25.8,24.1,37.7,40.6,96.8,0,8.7
Adilabad,Bheempoor,03-Jun-21,0.5,24.9,32.8,54.1,96.3,0,2.8
Adilabad,Bheempoor,04-Jun-21,0,26.4,33.9,46.8,82.6,0,3.2
Adilabad,Bheempoor,05-Jun-21,10.5,24.1,32.2,51.7,96.4,0,5.8
Adilabad,Bheempoor,06-Jun-21,0,25.9,34.7,48.3,83.3,0,3.7
Adilabad,Bheempoor,07-Jun-21,0,26.9,36.9,42.9,83.8,0,3.4
Adilabad,Bheempoor,08-Jun-21,0,28.2,36.5,44.6,79.2,0,3.8
Adilabad,Bheempoor,09-Jun-21,0,25.3,36,49.6,94.9,0,3
Adilabad,Bheempoor,10-Jun-21,0,27.1,34.3,55.9,81.9,0.1,2.5
Adilabad,Bheempoor,11-Jun-21,44.8,23.3,32.2,63.6,97.9,0.1,1.8
Adilabad,Bheempoor,12-Jun-21,35.3,22.7,30.9,72.5,99.1,0,2.2
Adilabad,Bheempoor,13-Jun-21,0,24.3,29.3,80.3,92,0,1.3
Adilabad,Bheempoor,14-Jun-21,57.8,23.1,34.3,61.3,99.3,0,3.5
Adilabad,Bheempoor,15-Jun-21,23.3,24.1,32.9,65.6,98.9,0,3.1
Adilabad,Bheempoor,16-Jun-21,0,24.1,34.3,57.5,97.1,0.1,3
Adilabad,Bheempoor,17-Jun-21,0,26,33.5,65.2,87.4,0.1,3.3
Adilabad,Bheempoor,18-Jun-21,12,24.5,31.8,70.6,99,0,4.6
Adilabad,Bheempoor,19-Jun-21,0,25.8,32.8,60.6,86.2,1.1,4.2
Adilabad,Bheempoor,20-Jun-21,0,26.1,33,58,81.5,0,3.1
Adilabad,Bheempoor,21-Jun-21,0,26.2,34.6,49.9,86.2,0,2.3
Adilabad,Bheempoor,22-Jun-21,0,27.6,35.1,47.1,75.3,0,2.5
Adilabad,Bheempoor,23-Jun-21,2,25.1,35.9,48.5,98.2,0,4.5
Adilabad,Bheempoor,24-Jun-21,0.5,25.4,30.9,71.2,90.6,0.1,1.9
Adilabad,Bheempoor,25-Jun-21,0,25,32.2,65.7,92.3,0,2.2
Adilabad,Bheempoor,26-Jun-21,0,26.1,32.7,66.9,86.7,0.1,2.6
Adilabad,Bheempoor,27-Jun-21,1.3,25.1,36,53.8,95.9,0,2.5
Adilabad,Bheempoor,28-Jun-21,2.5,24.5,34.7,59.2,98.3,0,2.2
Adilabad,Bheempoor,29-Jun-21,0,25.5,33.5,65.2,97.6,0,3.4
Adilabad,Bheempoor,30-Jun-21,0,27.7,34.5,56.2,83.9,0,2
Adilabad,Boath,01-Jun-21,1.8,24.4,39.2,35.1,87.6,0,3.5
Adilabad,Boath,02-Jun-21,7.5,22.6,37.2,40.1,93.1,0.1,3.9
Adilabad,Boath,03-Jun-21,0,24.9,33.4,47.2,88.8,0,2.9
Adilabad,Boath,04-Jun-21,0,25.5,32.6,53.7,81.7,0,2.4
Adilabad,Boath,05-Jun-21,23.7,21.9,32.9,56.5,92.5,0,3.3
Adilabad,Boath,06-Jun-21,3.4,22.8,33.1,46.3,90.9,0,7.5
Adilabad,Boath,07-Jun-21,0,24.2,34.9,44.5,86.7,0.1,8
Adilabad,Boath,08-Jun-21,0,25.3,34.8,41.5,80,0.1,8.8
Adilabad,Boath,09-Jun-21,5.1,23.9,35.1,46.1,93.1,0,4
Adilabad,Boath,10-Jun-21,0,24.4,32.9,51.7,87.1,0.2,2.4
Adilabad,Boath,11-Jun-21,5.4,22.1,32.5,58.8,92.5,0.1,9.1
Adilabad,Boath,12-Jun-21,2.3,21.3,30.2,64.3,100,0.1,9.4
Adilabad,Boath,13-Jun-21,0,23.5,29,71.9,85.8,0.1,2.5
Adilabad,Boath,14-Jun-21,47.2,21.7,34.8,52.6,97.4,0.1,3.2
Adilabad,Boath,15-Jun-21,5.3,22.9,32.2,64.3,96.3,0,8.4
Adilabad,Boath,16-Jun-21,0,23.3,34.5,48.6,89.8,0.1,7.7
Adilabad,Boath,17-Jun-21,21.3,23.6,33.4,50.4,94.5,0.1,6.2
Adilabad,Boath,18-Jun-21,6,22.6,30.8,65.3,94.3,0,5.4
Adilabad,Boath,19-Jun-21,0,23.9,33,52.2,87.1,0.9,4
Adilabad,Boath,20-Jun-21,0,23.5,32.8,50,89.5,0.2,3.1
Adilabad,Boath,21-Jun-21,0,24.3,33.9,45.4,80.3,0.2,3.4
Adilabad,Boath,22-Jun-21,1.2,25.3,34,41.7,81.2,0.1,2.1
Adilabad,Boath,23-Jun-21,3.7,24,34.5,43.5,94.7,0,4.5
Adilabad,Boath,24-Jun-21,0,23.8,30.2,65.3,86.6,0,3.1
Adilabad,Boath,25-Jun-21,5,23.3,32.9,56.8,93.1,0,2.2
Adilabad,Boath,26-Jun-21,2.8,24.2,31.5,58.8,91.8,0.2,2
Adilabad,Boath,27-Jun-21,6.5,24.2,33.9,51,93.3,0,3
Adilabad,Boath,28-Jun-21,106.4,22.8,33.5,53.5,100,0,2.8
Adilabad,Boath,29-Jun-21,0,23.8,32.1,67.9,95.4,0,2.5
Adilabad,Boath,30-Jun-21,0,25.4,34.5,50.1,88.8,0.1,2
Adilabad,Gadiguda,01-Jun-21,1.3,26.9,40.1,37.9,92.5,0.2,6.9
Adilabad,Gadiguda,02-Jun-21,24.5,23.4,37.3,43.4,97.4,0,9.4
Adilabad,Gadiguda,03-Jun-21,0,24.7,34.6,59.2,97,0,0.1
Adilabad,Gadiguda,04-Jun-21,0,27.5,34.5,51.7,90.8,0,6.8
Adilabad,Gadiguda,05-Jun-21,3.8,22.6,33.4,54.9,97.1,0,8.7
Adilabad,Gadiguda,06-Jun-21,0,25.5,34.5,56.2,97.2,0,7
Adilabad,Gadiguda,07-Jun-21,0,25.7,35.1,49.6,98,0,10.4
Adilabad,Gadiguda,08-Jun-21,0,26.2,34.8,49.9,93.2,0,8.9
Adilabad,Gadiguda,09-Jun-21,73.8,24.8,34.8,55.8,99.9,0,7.9
Adilabad,Gadiguda,10-Jun-21,0.5,25.8,34.6,59.8,97,0,6.1
Adilabad,Gadiguda,11-Jun-21,18.3,23.7,32.9,65.1,98.6,0,1.6
Adilabad,Gadiguda,12-Jun-21,19.8,21.6,30.6,78.9,98.9,0.1,6.7
Adilabad,Gadiguda,13-Jun-21,19,23.7,29.6,79,98.6,0,8.7
Adilabad,Gadiguda,14-Jun-21,41,23,32.3,70.2,99.4,0.1,3.8
Adilabad,Gadiguda,15-Jun-21,69.5,22.1,32.5,74.8,99.1,0,1.6
Adilabad,Gadiguda,16-Jun-21,4.3,24.2,34.5,64.1,99.9,0,3.4
Adilabad,Gadiguda,17-Jun-21,0,24.4,32.1,66,97,0.1,24.8
Adilabad,Gadiguda,18-Jun-21,29.5,23.8,30.6,76.8,99.9,0,9.9
Adilabad,Gadiguda,19-Jun-21,0,25.3,33,65.3,90.8,0.6,2.7
Adilabad,Gadiguda,20-Jun-21,0,24.3,32.8,64.9,91.5,0.3,4.3
Adilabad,Gadiguda,21-Jun-21,0,25.5,34.6,55.4,90.8,0,4.3
Adilabad,Gadiguda,22-Jun-21,0,26.5,34.2,50.6,83.7,0,2.9
Adilabad,Gadiguda,23-Jun-21,29.3,23.6,34.7,55.2,99.9,0,1.6
Adilabad,Gadiguda,24-Jun-21,0.5,24.6,30.6,76.1,96.9,0,1.2
Adilabad,Gadiguda,25-Jun-21,0,24.4,30.6,70.1,96.9,0.1,2.8
Adilabad,Gadiguda,26-Jun-21,3,23.9,30.7,69.9,99,0,1.3
Adilabad,Gadiguda,27-Jun-21,20.5,24.9,33.7,59.7,99.9,0,3.2
Adilabad,Gadiguda,28-Jun-21,14.8,23.6,34.4,66.7,99.9,0.2,2.4
Adilabad,Gadiguda,29-Jun-21,2,25.3,32.3,71.1,99.9,0,2.5
Adilabad,Gadiguda,30-Jun-21,0,27,33.9,59.8,97.9,0,1.7
Adilabad,Gudihathnur,01-Jun-21,4.9,24.4,38.3,38.1,80.7,0.1,1.2
Adilabad,Gudihathnur,02-Jun-21,32.9,21.8,38.2,36.6,92.6,0,10
Adilabad,Gudihathnur,03-Jun-21,0,24.9,32.8,58.3,100,0,2.1
Adilabad,Gudihathnur,04-Jun-21,0,25.7,34.4,49.6,75.5,0,3.4
Adilabad,Gudihathnur,05-Jun-21,28.8,21.1,33,56.2,93.4,0,8.3
Adilabad,Gudihathnur,06-Jun-21,0,23.6,33.5,52.6,83.6,0,8.3
Adilabad,Gudihathnur,07-Jun-21,0,24.9,36.5,45.4,80.2,0,7.5
Adilabad,Gudihathnur,08-Jun-21,5.2,25,33.3,54.2,90.5,0,9
Adilabad,Gudihathnur,09-Jun-21,0.7,24.5,33.5,56.2,86.6,0,4.3
Adilabad,Gudihathnur,10-Jun-21,8,23.6,32.8,58.3,93.9,0,2.3
Adilabad,Gudihathnur,11-Jun-21,12.3,22.4,30.9,67.5,93,0.1,9
Adilabad,Gudihathnur,12-Jun-21,11.6,21.2,28.8,72.8,94.1,0,9.8
Adilabad,Gudihathnur,13-Jun-21,7.4,22.3,28.1,77.6,93,0,1
Adilabad,Gudihathnur,14-Jun-21,53.1,21.2,33.2,64,94.9,0.1,3.7
Adilabad,Gudihathnur,15-Jun-21,13.3,22.7,32.9,66.6,94.1,0,8.8
Adilabad,Gudihathnur,16-Jun-21,9.1,23.4,34.7,58.8,94.9,0,7.2
Adilabad,Gudihathnur,17-Jun-21,0.3,23.9,33,63,88.5,0,5
Adilabad,Gudihathnur,18-Jun-21,5.4,22.5,30.8,69,94.6,0,4.3
Adilabad,Gudihathnur,19-Jun-21,2.6,24.2,32.5,63.5,89,0.8,3
Adilabad,Gudihathnur,20-Jun-21,0,23.6,32.4,62.4,82.2,0,2.7
Adilabad,Gudihathnur,21-Jun-21,0.3,24.5,33.3,54.2,74,0,2.8
Adilabad,Gudihathnur,22-Jun-21,0,25.6,34.4,49.6,74.5,0,2.9
Adilabad,Gudihathnur,23-Jun-21,5.3,23.5,35.1,51.9,95.5,0,4.3
Adilabad,Gudihathnur,24-Jun-21,0,23.9,30,70,90,0,3.6
Adilabad,Gudihathnur,25-Jun-21,0,24.1,31.2,67.5,81.7,0,2.2
Adilabad,Gudihathnur,26-Jun-21,0,24.6,30.6,68.5,82.7,0.2,3.6
Adilabad,Gudihathnur,27-Jun-21,5.4,23,33.7,58.3,93.4,0,1.3
Adilabad,Gudihathnur,28-Jun-21,40.3,22.5,34.1,60.9,95.5,0,2.5
Adilabad,Gudihathnur,29-Jun-21,0,25.4,32,71.1,98.2,0,1.8
Adilabad,Gudihathnur,30-Jun-21,0,25.6,34.8,58.3,84.1,0,2
Adilabad,Ichoda,01-Jun-21,3.2,25.2,37.4,41.5,88.7,0.1,2
Adilabad,Ichoda,02-Jun-21,6.9,22.7,37.3,40.5,97.8,0,4.6
Adilabad,Ichoda,03-Jun-21,0.3,25.1,34.2,56.7,91.7,0,1.5
Adilabad,Ichoda,04-Jun-21,0,27.7,33.7,50.7,88,0,1.8
Adilabad,Ichoda,05-Jun-21,15.5,22,32.5,57,98.2,0,14.3
Adilabad,Ichoda,06-Jun-21,4.3,24.2,33.4,50.6,98.8,0,13.3
Adilabad,Ichoda,07-Jun-21,0,25.3,36.1,45.9,91.1,0,12.9
Adilabad,Ichoda,08-Jun-21,5.9,25.3,33.1,54.3,94.1,0,15.1
Adilabad,Ichoda,09-Jun-21,14.3,24.6,33.9,55.3,98.7,0,5.6
Adilabad,Ichoda,10-Jun-21,0,24.8,32.6,57.1,95.1,0,2.3
Adilabad,Ichoda,11-Jun-21,3.8,23,32.6,69.7,97,0,14.5
Adilabad,Ichoda,12-Jun-21,16.4,21.5,31.1,72,98.3,0,15.7
Adilabad,Ichoda,13-Jun-21,0,23.2,29.6,79.2,96.5,0,0.1
Adilabad,Ichoda,14-Jun-21,69.5,22.5,33.9,60.9,99.9,0,3.8
Adilabad,Ichoda,15-Jun-21,9.1,23,32.6,69.1,99.9,0,14.5
Adilabad,Ichoda,16-Jun-21,0,23.7,33.3,58.8,97.5,0,11.1
Adilabad,Ichoda,17-Jun-21,7.9,23.9,32.9,62.6,95.5,0,8.1
Adilabad,Ichoda,18-Jun-21,49.4,22.7,30.8,78.8,99.9,0,6.4
Adilabad,Ichoda,19-Jun-21,0,26.4,32.5,60.6,94.1,0.8,3
Adilabad,Ichoda,20-Jun-21,0,24,32.8,65.4,91.8,0,2.7
Adilabad,Ichoda,21-Jun-21,0,25.3,33,52.1,86.6,0,2.8
Adilabad,Ichoda,22-Jun-21,0.3,27.2,34.6,47.9,89,0,2.9
Adilabad,Ichoda,23-Jun-21,4.6,24.3,34.5,49.6,99.9,0,5.7
Adilabad,Ichoda,24-Jun-21,0,24.2,31.3,69.2,96.1,0,5
Adilabad,Ichoda,25-Jun-21,0.9,25.2,32.5,65.8,95,0,2.2
Adilabad,Ichoda,26-Jun-21,0.9,24.7,31,65.2,98.4,0.2,3.6
Adilabad,Ichoda,27-Jun-21,26.1,23.9,34,55.9,99.9,0,0.1
Adilabad,Ichoda,28-Jun-21,96.1,22.8,33.6,62.7,99.9,0,2.5
Adilabad,Ichoda,29-Jun-21,0.3,24.7,32.3,76.4,99.9,0,1.8
Adilabad,Ichoda,30-Jun-21,0,25.8,34.4,55.7,97.7,0,2
Adilabad,Inderavelly,01-Jun-21,0,25.1,36.3,30.3,74.3,0.1,2
Adilabad,Inderavelly,02-Jun-21,36.6,22.7,35.2,36.7,100,0,2.7
Adilabad,Inderavelly,03-Jun-21,0,25.5,33,43.2,98.5,0,2.7
Adilabad,Inderavelly,04-Jun-21,0,26.2,33,43.7,62.7,0,3.4
Adilabad,Inderavelly,05-Jun-21,20.8,22.1,32.6,57.1,98.5,0,2.2
Adilabad,Inderavelly,06-Jun-21,0,24.4,33.4,50.8,85.7,0,3.3
Adilabad,Inderavelly,07-Jun-21,3.4,25.6,36.2,45.4,82.1,0,2
Adilabad,Inderavelly,08-Jun-21,0.3,26,33.2,54.5,81.9,0,2.8
Adilabad,Inderavelly,09-Jun-21,2.9,24.9,34,56,90.3,0,2.9
Adilabad,Inderavelly,10-Jun-21,12.3,24.5,32.8,50,91.6,0,2.3
Adilabad,Inderavelly,11-Jun-21,3.1,22,29.4,73.5,100,0.2,3.4
Adilabad,Inderavelly,12-Jun-21,15.8,21.6,28.5,72.4,100,0,3.8
Adilabad,Inderavelly,13-Jun-21,3.6,22.4,28.3,80.3,100,0,1.9
Adilabad,Inderavelly,14-Jun-21,93.5,21.5,32.2,62.8,100,0.2,3.6
Adilabad,Inderavelly,15-Jun-21,21.3,22.3,32.8,66.4,97.6,0,3.1
Adilabad,Inderavelly,16-Jun-21,0.7,23.8,33.6,62,95,0,3.2
Adilabad,Inderavelly,17-Jun-21,8.9,23.9,32,64,93.4,0,1.9
Adilabad,Inderavelly,18-Jun-21,7.6,23,30.9,72.3,97.2,0,2.1
Adilabad,Inderavelly,19-Jun-21,0,24.6,32.6,62.2,86,0.8,3
Adilabad,Inderavelly,20-Jun-21,0,24.1,32,60.6,84.6,0,2.7
Adilabad,Inderavelly,21-Jun-21,1,24.9,33.7,50.8,77,0,2.8
Adilabad,Inderavelly,22-Jun-21,0,26.1,34.7,47.9,75.6,0,2.9
Adilabad,Inderavelly,23-Jun-21,9.6,24.2,34.9,49.4,97.2,0,2.9
Adilabad,Inderavelly,24-Jun-21,0.1,24.4,30.3,70.4,88.3,0,2.1
Adilabad,Inderavelly,25-Jun-21,0,24.4,31.4,67.6,85,0,2.2
Adilabad,Inderavelly,26-Jun-21,0,25.2,31,67,85.8,0.2,3.6
Adilabad,Inderavelly,27-Jun-21,22.2,23.9,34.5,55.3,95.1,0,2.5
Adilabad,Inderavelly,28-Jun-21,39.5,22.9,33.5,62.8,96.6,0,2.5
Adilabad,Inderavelly,29-Jun-21,0,25.4,31.6,71.1,97.6,0,1.8
Adilabad,Inderavelly,30-Jun-21,0,26.5,34.7,56.3,87.6,0,2
Adilabad,Jainad,01-Jun-21,0.5,28.5,40.2,26.1,71.6,0,14.4
Adilabad,Jainad,02-Jun-21,25.4,23.6,39.4,30.9,84.6,0,13.4
Adilabad,Jainad,03-Jun-21,8.6,24.8,33.5,47.9,83.7,0,4.4
Adilabad,Jainad,04-Jun-21,0,27.7,35.5,35.5,70.1,0,13.1
Adilabad,Jainad,05-Jun-21,5.1,23.3,33.1,39.6,90.6,0,20
